id,file_dir,content
19,E:\DATN\dataframe\train_file\1.txt,"Đúng vậy, suy nghĩ của bạn hoàn toàn chính xác và hợp tự nhiên."
20,E:\DATN\dataframe\train_file\1.txt,Chúng ta hoàn toàn có thể lấy tổng hoặc lấy tổng trung bình vector các từ cấu thành lên câu để làm vector biểu diễn cho câu.
21,E:\DATN\dataframe\train_file\1.txt,Một ví dụ đơn giản cho bạn dễ thấy sự hợp tự nhiên mà mình nói tới ở đây.
22,E:\DATN\dataframe\train_file\1.txt,"Mình có 5 loại cocktail khác nhau, mỗi loại được được phân tích thành phần theo 300 loại phân tử phổ biến ngày này."
23,E:\DATN\dataframe\train_file\1.txt,"Và khi mình trộn 5 loại này với nhau mình sẽ được một loại cocktail mới, ly cocktail thứ 6 chứa đủ các thành phần của 5 loại cockltail kia cũng như có đủ vị của 5 loại (Điều này chỉ đúng khi các thành phần này không phản ứng hóa học với nhau)."
24,E:\DATN\dataframe\train_file\1.txt,"Tương tự, chúng ta biết Word2vec là phương pháp biểu diễn vector cho từ, mỗi từ cũng được chúng ta biểu diễn thành vector với trọng số của 100, 150 hay 300 chiều tương tự như các phân tử hóa học kia."
25,E:\DATN\dataframe\train_file\1.txt,"Việc tìm biểu diễn vector cho câu tương tự như khi ta trộn cocktail, ta kết hợp các thành phần vector của từ để làm biểu diễn cho câu."
26,E:\DATN\dataframe\train_file\1.txt,Vậy nếu các thành phần đó phản ứng với nhau như việc các phân tử có thể phản ứng hóa học với nhau thì sao?
27,E:\DATN\dataframe\train_file\1.txt,Chính xác điều đó sẽ xảy ra vì các từ cấu thành nên câu có thể xây dựng lên các câu với nghĩa khác nhau tùy thuộc vào cách sắp xếp của chúng.
28,E:\DATN\dataframe\train_file\1.txt,"Vì vậy, phương pháp này tồn tại những điểm hạn chế nghiêm trọng."
29,E:\DATN\dataframe\train_file\1.txt,Nó bỏ qua thứ tự của các từ trong câu
30,E:\DATN\dataframe\train_file\1.txt,"Nó hoàn toàn bỏ qua ngữ nghĩa, ngữ cảnh của câu"
31,E:\DATN\dataframe\train_file\1.txt,Ví dụ như 2 câu sau có cùng thành phần nhưng mang hai ý nghĩa hoàn toàn trái ngược:
32,E:\DATN\dataframe\train_file\1.txt,"Vì quá yêu bạn gái, chàng trai quyết định từ bỏ game."
33,E:\DATN\dataframe\train_file\1.txt,"Vì quá yêu game, chàng trai quyết định từ bỏ bạn gái."
34,E:\DATN\dataframe\train_file\1.txt,"Để ví dụ minh họa cho phương pháp này, mình sẽ giới thiệu một thư viện vô cùng quen thuộc trong xử lý ngôn ngữ tự nhiên đó là ."
35,E:\DATN\dataframe\train_file\1.txt,"Sử dụng Spacy, bạn có thể dễ dàng lấy ra vector đại diện của một từ có sẵn đã được huấn luyện trước đó."
36,E:\DATN\dataframe\train_file\1.txt,Spacy cũng cho phép lấy luôn ra vector đại diện cho câu theo phương pháp trung bình này.
37,E:\DATN\dataframe\train_file\1.txt,"Để cài Spacy, thực hiện lệnh:"
38,E:\DATN\dataframe\train_file\1.txt,pip install spacy
39,E:\DATN\dataframe\train_file\1.txt,python -m spacy download en_core_web_md
40,E:\DATN\dataframe\train_file\1.txt,import spacy
41,E:\DATN\dataframe\train_file\1.txt,nlp = spacy.load('en_core_web_md')
42,E:\DATN\dataframe\train_file\1.txt,"text = nlp(""I am Iron man"")"
43,E:\DATN\dataframe\train_file\1.txt,v1_vector = 0
44,E:\DATN\dataframe\train_file\1.txt,v2_vector = text.vector # Lấy vector của cả câu
45,E:\DATN\dataframe\train_file\1.txt,for t in text:
46,E:\DATN\dataframe\train_file\1.txt,    v1_vector += t.vector/len(text) # Lấy vector của cả từ chia trung bình
47,E:\DATN\dataframe\train_file\1.txt,print(v1_vector == v2_vector)
48,E:\DATN\dataframe\train_file\1.txt,"Kết quả là True, Spacy chính là đang sử dụng phương pháp này để lấy vector đại diện cho câu."
49,E:\DATN\dataframe\train_file\1.txt,"Các phương pháp tiếp cận dựa trên vector của từ khác như lấy trung bình có trọng số các vector từ hay kết hợp các từ theo thứ tự của cây phân tích ngữ pháp của câu đều rơi vào điểm hạn chế tương tự và không hiểu quả với các trường hợp câu khó phân tích như các câu thiếu, câu không hoàn chỉnh dẫn đến việc phân tích cây ngữ pháp bị sai."
50,E:\DATN\dataframe\train_file\1.txt,"Để khắc phục những điểm hạn chế kể trên, các phương pháp Sentence2vec mới đã được ra đời, sử dụng các tác vụ trung gian để tìm vector biểu diễn cho câu như classification, language modeling, autoencoder, encoder-decoder,... Trong phần tiếp theo, chúng ta cùng tiếp tục điểm qua một vài phương pháp nổi bật trong số đó."
51,E:\DATN\dataframe\train_file\1.txt,Sử dụng pre-trained từ các bài toán Classification
52,E:\DATN\dataframe\train_file\1.txt,"Trong thực tế, khi sử dụng các mô hình phân loại văn bản, các vector ở layer cận cuối cùng, trước khi đưa qua layer cuối cùng sử dụng hàm kích hoạt softmax để phân loại đã có đủ tính tổng quát để đại diện cho câu, đoạn văn bản đó."
53,E:\DATN\dataframe\train_file\1.txt,"Do vậy, ở phương pháp này, ta có thể sử dụng lại model đã được huấn luyện từ các tác vụ phân loại văn bản trước đó ví dụ như Sentiment analysis để sinh ra vector đại diện cho một câu văn mới."
54,E:\DATN\dataframe\train_file\1.txt,"Như trong bài báo , chúng ta ánh xạ các câu vào trong mạng bằng cách sử dụng một pre-trained word embbeding."
55,E:\DATN\dataframe\train_file\1.txt,Sau đó sử dụng một kiến trúc CNN để học ra các đặc trưng được sử dụng cho quá trình phân loại trước khi cho qua một fully connected layer.
56,E:\DATN\dataframe\train_file\1.txt,Vector cuối cùng thu được bởi kiến trúc chính là vector đại diện cho câu.
57,E:\DATN\dataframe\train_file\1.txt,Nhược điểm của phương pháp này là các biểu diễn thông qua các nhiệm vụ trung gian như vậy thường thu được các vector không tổng quát mà gắn chặt với nhiệm vụ trước đó.
58,E:\DATN\dataframe\train_file\1.txt,"Như vậy, các vector này có thể không sử dụng được cho các nhiệm vụ khác mà chỉ được sử dụng cho các nhiệm vụ tương tự hoặc ta phải là tìm vector biển diễn cho câu mà các vector thu được đủ tổng quát cho các nhiệm vụ khác."
59,E:\DATN\dataframe\train_file\1.txt,Paragraph Vectors: Doc2vec
60,E:\DATN\dataframe\train_file\1.txt,"Trong bài báo  của Quốc Lê và Tomas Mikolov năm 2015, các tác giả đã giới thiệu một phương pháp mới có khả năng tìm vector biểu diễn tốt hơn cho các câu văn/đoạn văn thông qua một mô hình tương tự như mô hình word2vec được giới thiệu trước đó cũng bởi Mikolov."
61,E:\DATN\dataframe\train_file\1.txt,Phương pháp được mô tả đơn giản như hình dưới đây.
62,E:\DATN\dataframe\train_file\1.txt,"Nhìn vào hình, bạn có thể thấy mô hình này chỉ khác mô hình word2vec 1 điểm duy nhất là ngoài input là các từ ngữ cảnh, chúng ta còn có thêm 1 giá trị mới là ID của các câu văn."
63,E:\DATN\dataframe\train_file\1.txt,"Về cơ bản, mỗi câu văn được ánh xạ tới một vector duy nhất và mô hình sử dụng các vector của câu văn này kết hợp với các vector từ cấu thành lên câu đó để dự đoán từ tiếp theo cho ngữ cảnh."
64,E:\DATN\dataframe\train_file\1.txt,"Thông qua quá trình đào tạo như vậy, các vector của câu sẽ có thể lưu trữ thông tin về ngữ cảnh, ý nghĩa của câu, những thông tin mà bản thân ý nghĩa của từng từ trong câu không thể thể hiện được."
65,E:\DATN\dataframe\train_file\1.txt,Nó hoạt động như một bộ nhớ lưu trữ của câu.
66,E:\DATN\dataframe\train_file\1.txt,"Cũng chính vì vậy, phương pháp này được gọi là Distributed Memory model (PV-DM)."
67,E:\DATN\dataframe\train_file\1.txt,"Để tìm được vector cho một câu mới, chúng ta sử dụng mô hình trên để dự đoán bằng cách khởi tạo một vector ngẫu nhiên cho câu văn đó."
68,E:\DATN\dataframe\train_file\1.txt,"Trọng số của tất cả các phần còn lại trong mạng được giữ nguyên, sau một vài epochs cho quá trình inference, ta thu được vector trọng số đại diện cho câu đầu vào mới."
69,E:\DATN\dataframe\train_file\1.txt,"Ngoài ra, tương tự như word2vec, chúng ta cũng có một mô hình khác, dự đoán các từ ngẫu nhiên trong ngữ cảnh và được gọi là Distributed BOW (PV-DBOW)."
70,E:\DATN\dataframe\train_file\1.txt,"Việc sử dụng và huấn luyện Doc2vec giờ đây đã khá đơn giản, việc duy nhất bạn phải làm đó là tìm hiểu về thư viên  và học cách sử dụng nó."
71,E:\DATN\dataframe\train_file\1.txt,"Việc sử dụng Gensim để huẩn luyện Doc2vec khá đơn giản, các bạn xem qua tại , mình sẽ không đi vào chi tiết."
72,E:\DATN\dataframe\train_file\1.txt,"Trong khi Doc2vec là một mô hình intra-sentence, tức là ta tìm ra vector đại diện của một câu chỉ dựa vào bản thân câu đấy mà không dựa vào các câu xung quanh thì Skip-thoughts lại là một mô hình inter-sentence."
73,E:\DATN\dataframe\train_file\1.txt,Phương pháp sử dụng tính liên tục của văn bản để dự đoán câu tiếp theo dựa vào câu đã cho.
74,E:\DATN\dataframe\train_file\1.txt,"Tư tưởng của điều này khá giống với thuật toán Skip-gram trong mô hình word2vec, sử dụng thông tin của câu hiện tại để dự đoán ngữ cảnh xung quanh nó, chỉ khác là word2vec sử dụng trừu tượng hóa ở mức từ thì ở skip-thoughts chúng ta trừu tượng hóa ở mức câu."
75,E:\DATN\dataframe\train_file\1.txt,Phương pháp được giới thiệu trong bài báo  của đại học Toronto đầu năm 2015.
76,E:\DATN\dataframe\train_file\1.txt,"Trong bài báo này, các tác giả đề xuất một mô hình encoder-decoder cho quá trình huấn luyện, sử dụng kiến trúc RNN cho cả phần encoding và decoding."
77,E:\DATN\dataframe\train_file\1.txt,"Ngoài sinh ra một vector đại diện cho câu, phương pháp này cũng sinh ra các vector cho các từ trong kho từ vựng."
78,E:\DATN\dataframe\train_file\1.txt,Hàm mục tiêu được tối ưu hóa như sau:
79,E:\DATN\dataframe\train_file\1.txt,"Trong đó, chỉ số"
80,E:\DATN\dataframe\train_file\1.txt,i+1 và
81,E:\DATN\dataframe\train_file\1.txt,i−1 tương ứng thể hiện là các câu tiếp theo và các câu trước đó của câu đầu vào.
82,E:\DATN\dataframe\train_file\1.txt,"Nhìn chung, hàm này đại diện cho tổng logarithm xác suất dự đoán đúng câu tiếp theo và câu trước đó của câu hiện tại."
83,E:\DATN\dataframe\train_file\1.txt,"Như trong ví dụ này, input là bộ 3 câu:"
84,E:\DATN\dataframe\train_file\1.txt,I got back home.
85,E:\DATN\dataframe\train_file\1.txt,I could see the cat on the steps.
86,E:\DATN\dataframe\train_file\1.txt,This was strange.
87,E:\DATN\dataframe\train_file\1.txt,Câu trước: I got back home
88,E:\DATN\dataframe\train_file\1.txt,Câu hiện tại: I could see the cat on the steps
89,E:\DATN\dataframe\train_file\1.txt,Câu sau: This was strange.
90,E:\DATN\dataframe\train_file\1.txt,"Encoder: Đầu vào là chuỗi các vector từ của các từ có trong câu hiện tại, sau đó được chuyển tiếp vào GRU hoặc LSTM."
91,E:\DATN\dataframe\train_file\1.txt,"Decoder: Kiến trúc tương tự như kiến trúc encoder nhưng thay vì chỉ có một, chúng ta có tới 2 decoder cho câu trước và câu sau."
92,E:\DATN\dataframe\train_file\1.txt,Chúng ta có thể tham khảo 1 số source code đã implement skip-thought sau:
93,E:\DATN\dataframe\train_file\1.txt,"Quick thought vector là phương pháp được phát triển dựa trên Skip-thoughts vectors, được giới thiệu trong bài báo  đầu năm 2018."
94,E:\DATN\dataframe\train_file\1.txt,"Tuy nhiên, thay vì sử dụng một lớp decoder để dự đoán các câu tiếp theo của câu hiện tại, Quick thought sử dụng một nhiệm vụ phân loại: Trong những câu được đưa ra, câu nào là câu kế tiếp của câu hiện tại."
95,E:\DATN\dataframe\train_file\1.txt,Sự thay đổi này tạo nên cho nó một lợi thế cạnh tranh mạnh mẽ so với Skip-thought đó là thời gian huấn luyện mô hình.
96,E:\DATN\dataframe\train_file\1.txt,Tốc độ huấn luyện giảm đáng kể khiến nó sử dụng tốt khi ra cần sử dụng với những bộ dữ liệu lớn và cực lớn.
97,E:\DATN\dataframe\train_file\1.txt,FastSent và Denoising autoencoders
98,E:\DATN\dataframe\train_file\1.txt,"FastSent được giới thiệu trong bài báo  vào đầu năm 2016 bởi nhóm tác giả Felix Hill, Kyunghyun Cho và Anna Korhonen."
99,E:\DATN\dataframe\train_file\1.txt,"Mô hình này được đề xuất là một kỹ thuật inter-sentence, về mặt tư tưởng khá giống với mô hình Skip-thoughts trước đó."
100,E:\DATN\dataframe\train_file\1.txt,"Điểm khác biệt duy nhất là nó sử dụng biểu diễn BOW(bag of word) của câu để dự đoán các câu xung quanh, điều này làm cho nó tính toán hiệu quả hơn so với Skip-thoughts, dẫn đến quá trình training được diễn ra nhanh hơn nhiều."
101,E:\DATN\dataframe\train_file\1.txt,"Giả thuyết đào tạo vẫn giữ nguyên, tức là ngữ nghĩa của câu có thể được suy ra từ nội dung của các câu liền kề."
102,E:\DATN\dataframe\train_file\1.txt,"Cũng trong bài báo này, một phiên bản khác của mô hình FastSent cũng được đề xuất được gọi là Denoising autoencoders."
103,E:\DATN\dataframe\train_file\1.txt,"Về cơ bản, nó là một phương pháp intra-sentence trong đó mục tiêu là tái tạo lại một câu từ một phiên bản lỗi/nhiễu của chính nó."
104,E:\DATN\dataframe\train_file\1.txt,"Trong phiên bản sửa đổi của một câu gốc, có 2 cách để tạo nhiễu để sinh ra nó:"
105,E:\DATN\dataframe\train_file\1.txt,"Đối với mỗi từ w trong câu S, xóa từ đó đi theo xác suất xóa là"
106,E:\DATN\dataframe\train_file\1.txt,"Đối với mỗi bigram không chồng chéo nhau, đổi chỗ các phần tử trong bigram với một xác suất là"
107,E:\DATN\dataframe\train_file\1.txt,Vì các chi tiết của mô hình khá giống với Skip-thought nên chúng ta sẽ không nói quá nhiều về nó nữa.
108,E:\DATN\dataframe\train_file\1.txt,Chi tiết bạn có thể xem tại bào báo gốc được giới thiệu phần bên trên.
109,E:\DATN\dataframe\train_file\1.txt,"Không giống như các phương pháp trên sử dụng hướng tiếp cận học máy không giám sát, InferSent sử dụng Stanford Natural Language Inference (SNLI) với 570k cặp câu với 3 nhãn: neutral, contradiction và entailment để huấn luyện một bộ phân loại."
110,E:\DATN\dataframe\train_file\1.txt,Cả hai câu đều được vector hóa bởi một kiến trúc encoder duy nhất.
111,E:\DATN\dataframe\train_file\1.txt,"Sau đó, các vector đại diện cho 2 câu được kết hợp theo 3 cách(Concatenation, Element-wise product, Absolute element-wise) và đưa qua một fully connected layers để thực hiện phân loại 3 lớp."
112,E:\DATN\dataframe\train_file\1.txt,Kiến trúc được mô tả chi tiết trong bài báo  của Facebook AI Research và được mô tả bằng hình vẽ dưới đây.
113,E:\DATN\dataframe\train_file\1.txt,"InferSent được Facebook viết bằng Pytorch, bạn có thể tham khảo và sử dụng tại ."
114,E:\DATN\dataframe\train_file\1.txt,Trên đây là những phương pháp mình cảm thấy phổ biến và thường hay được sử dụng nhất cho tới thời điểm hiện tại.
115,E:\DATN\dataframe\train_file\1.txt,"Ngoài ra, còn có rất nhiều biến thể và đề xuất khác được đưa ra, tuy nhiên, mình sẽ dựa vào mức độ phổ biến và hiệu quả của nó để quyết định bổ sung vào bài sau."
116,E:\DATN\dataframe\train_file\1.txt,Cảm ơn các bạn vì đã đọc bài. )
117,E:\DATN\dataframe\train_file\10.txt,"Khi lập trình dart và flutter chắc hẳn bạn đã gặp và sử dụng abstract class, interface(implements class) và mixin nhưng liệu bạn đã hiểu rõ sự khác nhau giữa chúng, hãy cùng mình đi so sánh để làm rõ điểm khác biệt nhé."
118,E:\DATN\dataframe\train_file\10.txt,Khi bạn extends thì bạn sẽ Chỉ có thể extends 1 class Phải override abstract fun hoặc C1 là abstract class Dùng lại normal fun.
119,E:\DATN\dataframe\train_file\10.txt,Khi bạn implements thì bạn sẽ Có thể implements nhiều class.
120,E:\DATN\dataframe\train_file\10.txt,"Phải override lại tất cả fun, cả normal fun chứ không dùng lại được, hoặc C2 là abstract class."
121,E:\DATN\dataframe\train_file\10.txt,"Mixin là một cách sử dụng lại code của dart, tận dụng ưu điểm và khắc phục nhược điểm của extends và implements."
122,E:\DATN\dataframe\train_file\10.txt,Khi bạn with mixin thì bạn sẽ.
123,E:\DATN\dataframe\train_file\10.txt,Dùng lại được code.
124,E:\DATN\dataframe\train_file\10.txt,Có thể with nhiều mixin.
125,E:\DATN\dataframe\train_file\10.txt,Có thể giới hạn class sử dụng mixin với on Class.
126,E:\DATN\dataframe\train_file\10.txt,Không thể extends mixin.
127,E:\DATN\dataframe\train_file\10.txt,"Nếu implements mixin thì phải override lại tất cả fun hoặc C3 là abstract class, chứ không dùng lại được code."
128,E:\DATN\dataframe\train_file\10.txt,"Trường hợp with nhiều mixin có chung fun, fun của mixin cuối cùng trong list mixin sẽ được thực thi Ở ví dụ trên thì parent class là abstract class, trường hợp parent class là normal class thì cũng tương tự, các bạn khám phá nhé."
129,E:\DATN\dataframe\train_file\11.txt,Tất tần tật về mô hình MVC
130,E:\DATN\dataframe\train_file\11.txt,Kiến thức nền tảng
131,E:\DATN\dataframe\train_file\11.txt,1.1 Tìm hiểu mô hình MVC là gì?
132,E:\DATN\dataframe\train_file\11.txt,MVC là viết tắt của cụm từ “Model-View-Controller“.
133,E:\DATN\dataframe\train_file\11.txt,Đây là mô hình thiết kế được sử dụng trong kỹ thuật phần mềm.
134,E:\DATN\dataframe\train_file\11.txt,MVC là một mẫu kiến trúc phần mềm để tạo lập giao diện người dùng trên máy tính.
135,E:\DATN\dataframe\train_file\11.txt,MVC chia thành ba phần được kết nối với nhau và mỗi thành phần đều có một nhiệm vụ riêng của nó và độc lập với các thành phần khác.
136,E:\DATN\dataframe\train_file\11.txt,"MVC cũng được sử dụng rộng rãi trong phát triển web, sự khác biệt được tùy chỉnh liên quan đến sự có mặt của server - client."
137,E:\DATN\dataframe\train_file\11.txt,1.2 Các thành phần trong MVC
138,E:\DATN\dataframe\train_file\11.txt,Có nhiệm vụ thao tác với Database
139,E:\DATN\dataframe\train_file\11.txt,"Nó chứa tất cả các hàm, các phương thức truy vấn trực tiếp với dữ liệu"
140,E:\DATN\dataframe\train_file\11.txt,"Controller sẽ thông qua các hàm, phương thức đó để lấy dữ liệu rồi gửi qua View"
141,E:\DATN\dataframe\train_file\11.txt,Là giao diện người dùng (User Interface)
142,E:\DATN\dataframe\train_file\11.txt,"Chứa các thành phần tương tác với người dùng như menu, button, image, text,..."
143,E:\DATN\dataframe\train_file\11.txt,Nơi nhận dữ liệu từ Controller và hiển thị
144,E:\DATN\dataframe\train_file\11.txt,Là thành phần trung gian giữa Model và View
145,E:\DATN\dataframe\train_file\11.txt,"Đảm nhận vai trò tiếp nhận yêu cầu từ người dùng, thông qua Model để lấy dữ liệu sau đó thông qua View để hiển thị cho người dùng"
146,E:\DATN\dataframe\train_file\11.txt,1.3 Luồng xử lý trong MVC
147,E:\DATN\dataframe\train_file\11.txt,"Luồng xử lý trong MVC rất đơn giản thôi, với web nó gồm các bước như sau:"
148,E:\DATN\dataframe\train_file\11.txt,Đầu tiên là Request từ người dùng được gửi từ client đến server ( nếu bạn chưa biết về Request)
149,E:\DATN\dataframe\train_file\11.txt,Sau đó Controller dựa vào yêu cầu của người dùng tiến hành giao tiếp với Model để lấy data từ database
150,E:\DATN\dataframe\train_file\11.txt,Cuối cùng Controller gửi dữ liệu vừa lấy được về View và hiển thị ra cho người dùng trên trình duyệt
151,E:\DATN\dataframe\train_file\11.txt,1.4 Tại sao nên sử dụng mô hình MVC
152,E:\DATN\dataframe\train_file\11.txt,Sự độc lập và phát triển song song
153,E:\DATN\dataframe\train_file\11.txt,"Vì mỗi thành phần trong MVC có nhiệm vụ riêng và độc lập với nhau, nên mỗi developer có thể đảm nhiệm một thành phần và không ảnh hưởng đến nhau khiến quá trình phát triển diễn ra nhanh chóng, dễ dàng"
154,E:\DATN\dataframe\train_file\11.txt,Hỗ trợ bất đồng bộ
155,E:\DATN\dataframe\train_file\11.txt,Kỹ thuật bất đồng bộ khiến các ứng dụng được load nhanh hơn đơn giản vì tiến hành chạy nhiều câu lệnh cùng lúc
156,E:\DATN\dataframe\train_file\11.txt,MVC thân thiện với SEO
157,E:\DATN\dataframe\train_file\11.txt,Nền tảng MVC hỗ trợ phát triển các trang web thân thiện với SEO.
158,E:\DATN\dataframe\train_file\11.txt,"Bằng nền tảng này, bạn có thể dễ dàng phát triển các URL thân thiện với SEO để tạo ra nhiều lượt truy cập hơn."
159,E:\DATN\dataframe\train_file\11.txt,1.5 Lịch sử mô hình MVC
160,E:\DATN\dataframe\train_file\11.txt,MVC được tiến sĩ Trygve Reenskaug đưa vào ngôn ngữ lập trình Smalltalk-76 khi ông đến trung tâm Nghiên cứu Xerox Palo Alto (PARC) vào giữa năm 1970.
161,E:\DATN\dataframe\train_file\11.txt,"Sau đó, việc triển khai trở nên phổ biến trong các phiên bản khác của Small- Talk."
162,E:\DATN\dataframe\train_file\11.txt,"Năm 1988, các bài báo “The Journal of Object Technology” – JOT mang lại bước tranh toàn cảnh về MVC mang liệu sự hiệu quả tốt nhất."
163,E:\DATN\dataframe\train_file\11.txt,Áp dụng MVC vào project thực tế
164,E:\DATN\dataframe\train_file\11.txt,"Nếu bạn đọc và hiểu những gì bên trên, thì bạn nắm được cơ bản về mô hình MVC rồi đấy, nhưng khi áp dụng nó vào project thì nó lại là chuyện khác."
165,E:\DATN\dataframe\train_file\11.txt,Ở đây tôi muốn chia sẻ cho bạn một nguồn mà tôi đã giúp tôi hiểu rõ hơn khi tìm hiểu về mô hình MVC.
166,E:\DATN\dataframe\train_file\11.txt,Đó là kênh youtube F8 Official của Sơn Đặng.
167,E:\DATN\dataframe\train_file\11.txt,Trong đó có rất nhiều khóa học hay về web nhưng nếu bạn chỉ muốn hiểu sâu hơn về cách áp dụng mô hình MVC trong project thực tế thì đây là  dành cho bạn.
168,E:\DATN\dataframe\train_file\11.txt,Hãy xem từ video 17: Mô hình MVC nhé!
169,E:\DATN\dataframe\train_file\11.txt,Chúc bạn thành công!!
170,E:\DATN\dataframe\train_file\12.txt,Các công cụ làm việc với JSON
171,E:\DATN\dataframe\train_file\12.txt,"Website những ngày đầu chỉ là những trang web tĩnh - static web (HTML/XHTML + CSS, có thể bao gồm cả Javascript), tĩnh có nghĩa là mỗi khi bạn request đến một đường link/site nào đấy thì nội dung trả về là không thay đổi."
172,E:\DATN\dataframe\train_file\12.txt,Với công nghệ hồi đó thì rất khó để thay đổi content của trang web trong thời gian thực như thế này nếu không có sự phát minh của những kĩ thuật tiên tiến khác.
173,E:\DATN\dataframe\train_file\12.txt,Đó là lý do mà kỹ thuật AJAX (Asynchronous JavaScript And XML) ra đời.
174,E:\DATN\dataframe\train_file\12.txt,Về cơ bản thì AJAX cho phép thay đổi nội dung của trang web mà không cần phải reload toàn bộ trang.
175,E:\DATN\dataframe\train_file\12.txt,"Ví dụ như khi anh Sơn Tùng MTP vừa đăng một bức hình lên FB, chưa có like nào cả, thì khi bạn bấm vào nút like, AJAX sẽ gọi lên server để lấy số like hiện tại và trả về để hiển thị."
176,E:\DATN\dataframe\train_file\12.txt,Do đó khi bạn like thì số like sẽ tự nhảy lên thành N likes chứ không phải là 1.
177,E:\DATN\dataframe\train_file\12.txt,"Trong khoảng thời gian tiếp theo làm việc với AJAX, một số cá nhân phát hiện ra sự bất tiện khi trao đổi dữ diệu giữa client và server bằng XML, nên một dạng data interchange format hiệu quả hơn có tên là JSON đã được sử dụng."
178,E:\DATN\dataframe\train_file\12.txt,Rồi dần dà khi dynamic website và AJAX chiếm lĩnh thị trường internet thì mô hình client-server trở nên vô cùng phổ biến khiến cho JSON theo đó cũng thở thành một tiêu chuẩn cho việc giao tiếp giữa client và server.
179,E:\DATN\dataframe\train_file\12.txt,"Ở thời điểm hiện tại, third party APIs như Google, Facebook....hay các dạng NoSQL database đều sử dụng JSON."
180,E:\DATN\dataframe\train_file\12.txt,"Nói chung là dữ liệu được tổ chức và lữu trữ bằng JSON vô cùng lớn, khả năng trong tương lại gần việc bạn phải làm việc với JSON data gần như là điều chắc chắn."
181,E:\DATN\dataframe\train_file\12.txt,Vì vậy trong bài viết này mình giới thiệu đến các bạn một số kỹ thuật giúp bạn làm việc với JSON nhanh và hiệu quả.
182,E:\DATN\dataframe\train_file\12.txt,Khi làm việc với JSON mình thường làm các tác vụ chủ yếu như sau:
183,E:\DATN\dataframe\train_file\12.txt,Resharping (transform)
184,E:\DATN\dataframe\train_file\12.txt,Edit (Manipulate)
